SalePrice,Area,Price/m2,Width,Length,Location
4500.0,122.4,36.89,5.0,20.0,quan cam le
650.0,100.0,6.5,5.5,25.0,huyen hoa vang
2600.0,92.5,28.26,5.5,25.0,quan lien chieu
4200.0,100.0,42.0,5.0,20.0,quan cam le
3200.0,139.0,23.02158273381295,9.0,15.0,quan hai chau
1579.0,100.0,15.79,5.0,20.0,quan ngu hanh son
900.0,150.0,6.0,8.0,19.0,huyen hoa vang
15300.0,180.0,85.0,8.0,19.0,quan son tra
3050.0,100.0,30.5,5.0,20.0,quan cam le
3470.0,100.0,34.7,5.0,20.0,quan cam le
2220.0,93.0,23.87,5.0,18.0,quan cam le
3750.0,96.0,39.06,5.0,19.0,quan lien chieu
3100.0,100.0,31.0,5.0,20.0,quan cam le
749.0,162.0,4.62,6.5,25.0,huyen hoa vang
2000.0,60.0,33.33,5.0,13.0,quan lien chieu
1800.0,100.0,18.0,5.0,20.0,quan cam le
3000.0,100.0,30.0,5.0,20.0,quan ngu hanh son
4700.0,100.0,47.0,5.0,20.0,quan cam le
4200.0,95.0,44.21,5.0,20.0,quan ngu hanh son
4000.0,100.0,40.0,5.0,20.0,quan son tra
3800.0,87.5,43.68,5.0,17.5,quan lien chieu
8400.0,88.0,95.45,5.0,17.5,quan son tra
650.0,100.0,6.5,5.0,20.0,huyen hoa vang
3400.0,130.0,26.15,5.0,26.0,quan cam le
1700.0,50.8,34.0,5.0,10.0,quan thanh khe
4300.0,125.0,34.4,5.0,25.0,quan cam le
3800.0,105.0,36.19,5.0,25.0,quan ngu hanh son
1450.0,70.0,20.71,5.0,12.0,quan lien chieu
3220.0,100.0,32.2,5.0,20.0,quan cam le
890.0,100.0,8.9,5.0,20.0,quan lien chieu
1150.0,110.0,10.45,6.0,20.0,huyen hoa vang
1250.0,112.0,11.16,5.0,23.0,huyen hoa vang
3650.0,90.0,40.56,4.5,20.0,quan lien chieu
1500.0,100.0,15.0,5.0,25.0,huyen hoa vang
3600.0,100.0,36.0,5.0,20.0,quan cam le
2400.0,52.0,46.15,5.0,20.0,quan hai chau
2850.0,73.4,39.04,4.0,14.0,quan lien chieu
3320.0,100.0,33.2,5.0,20.0,quan cam le
580.0,100.0,5.8,4.2,25.0,huyen hoa vang
2530.0,80.0,31.63,5.0,16.0,quan lien chieu
4800.0,100.0,48.0,5.0,20.0,quan son tra
3250.0,69.0,47.1,4.5,14.0,quan son tra
5500.0,152.0,36.18,7.0,22.0,quan ngu hanh son
4200.0,100.0,42.0,5.0,20.0,quan cam le
2650.0,70.0,37.86,4.8,5.2,quan hai chau
3470.0,100.0,34.7,5.0,20.0,quan cam le
2530.0,80.0,31.63,5.0,16.0,quan lien chieu
2630.0,100.0,26.3,5.0,20.0,quan cam le
2900.0,70.0,41.43,5.0,14.0,quan lien chieu
450.0,135.0,3.33,5.0,27.0,huyen hoa vang
2900.0,100.0,29.0,5.0,25.0,quan cam le
2850.0,74.0,38.51,4.0,18.0,quan lien chieu
2150.0,125.0,17.2,5.0,25.0,huyen hoa vang
1900.0,102.0,18.63,6.75,15.0,quan lien chieu
4800.0,116.0,41.38,5.0,20.0,quan cam le
3700.0,170.0,21.76,5.0,20.0,quan ngu hanh son
347.0,100.0,34.7,5.0,20.0,quan cam le
3300.0,102.0,32.35,5.0,20.0,quan ngu hanh son
2010.0,107.5,18.79,5.0,21.5,quan lien chieu
3200.0,100.0,32.0,5.0,20.0,quan cam le
7200.0,124.0,58.06,5.0,25.0,quan ngu hanh son
