time,open,close,high
1620669600,57115.4177259445,57101.940410571384,57195.29252563625
1620666000,57601.53355506202,57115.4177259445,57722.40933740998
1620662400,58536.38648566967,57601.53355506202,58578.61377913773
1620658800,57025.362649502495,58536.38648566967,58536.38648566967
1620655200,57691.71928033556,57025.362649502495,57735.60514914942
1620651600,57618.44560828038,57691.71928033556,57976.195150803826
1620648000,58126.62740453711,57618.44560828038,58293.64234574299
1620644400,57872.1861126162,58126.62740453711,58325.46309568886
1620640800,57913.69817441227,57872.1861126162,58170.09917836712
1620637200,58416.82410646294,57913.69817441227,58607.527762067955
1620633600,58462.53040917884,58416.82410646294,58516.14709491027
1620630000,58897.962866848495,58462.53040917884,58972.43833305749
1620626400,59100.39057620227,58897.962866848495,59230.52363908428
1620622800,59256.838824676604,59100.39057620227,59472.55795478197
1620619200,59483.94796584417,59256.838824676604,59550.900958075814
1620615600,59010.15357264602,59483.94796584417,59483.94796584417
1620612000,58907.657902471416,59010.15357264602,59082.42001977429
1620608400,58946.79754297255,58907.657902471416,59001.5554911004
1620604800,58340.68652745072,58946.79754297255,58946.79754297255
1620601200,57970.81599554124,58340.68652745072,58451.164413642975
1620597600,58164.48980842616,57970.81599554124,58265.294606843905
1620594000,57914.72727621332,58164.48980842616,58183.587228113065
1620590400,57424.11050806021,57914.72727621332,57937.083671452456
1620586800,57522.59841048871,57424.11050806021,57596.17464956306
1620583200,57464.484230729024,57522.59841048871,57652.421591321094
1620579600,57634.65547030583,57464.484230729024,57699.776600020174
1620576000,57412.37760435555,57634.65547030583,57827.02280708591
1620572400,57213.67728823621,57412.37760435555,57419.550116636165
1620568800,57267.01393049845,57213.67728823621,57421.30809876765
1620565200,56412.38312500518,57267.01393049845,57295.16825965203
1620561600,57942.26109805641,56412.38312500518,57949.66806686017
1620558000,58062.84108330159,57942.26109805641,58190.59607193722
1620554400,57858.68493475165,58062.84108330159,58062.84108330159
1620550800,58173.9396157922,57858.68493475165,58347.07300111914
1620547200,58042.60722567641,58173.9396157922,58239.28834646993
1620543600,58348.38826596325,58042.60722567641,58420.671748022396
1620540000,58494.174172036604,58348.38826596325,58583.25607970768
1620536400,58250.959455589305,58494.174172036604,58557.73220313368
1620532800,58704.743409136485,58250.959455589305,58831.70917067386
1620529200,58716.199748515806,58704.743409136485,59054.693835092374
1620525600,59151.3809131271,58716.199748515806,59192.237467895015
1620522000,58617.64289119006,59151.3809131271,59255.18534730065
1620518400,59014.62528837795,58617.64289119006,59091.51815783591
1620514800,58663.813784451064,59014.62528837795,59014.62528837795
1620511200,58858.67967873517,58663.813784451064,59107.03514133253
1620507600,59005.76944527381,58858.67967873517,59127.60275670052
1620504000,59107.44298273312,59005.76944527381,59504.703045956674
1620500400,59111.375223466304,59107.44298273312,59325.07194669911
1620496800,59050.50004933542,59111.375223466304,59275.08388176302
1620493200,58401.389027057,59050.50004933542,59050.50004933542
1620489600,57835.635473810435,58401.389027057,58523.824860223904
1620486000,59004.4442096364,57835.635473810435,59004.4442096364
1620482400,58903.67161972391,59004.4442096364,59110.343568481534
1620478800,58930.39492539901,58903.67161972391,59450.33072778807
1620475200,58507.54125813757,58930.39492539901,59067.199456899245
1620471600,58627.72119061403,58507.54125813757,58844.4802357288
1620468000,58886.08451091606,58627.72119061403,58914.197561723595
1620464400,58919.80602015285,58886.08451091606,59165.973663399855
1620460800,58657.10419167273,58919.80602015285,59371.842384462376
1620457200,57830.98204856981,58657.10419167273,58657.10419167273
1620453600,57996.030017050885,57830.98204856981,57997.81243303478
1620450000,58045.77333473936,57996.030017050885,58118.16718236612
1620446400,58087.71130026909,58045.77333473936,58611.432906562004
1620442800,58366.385886197924,58087.71130026909,58435.445480539565
1620439200,57664.65981925163,58366.385886197924,58366.385886197924
1620435600,57740.70954792728,57664.65981925163,57810.573840115125
1620432000,57360.688672435346,57740.70954792728,57743.692651702
1620428400,57069.66888455963,57360.688672435346,57408.60411855637
1620424800,57386.224040073575,57069.66888455963,57579.11269105423
1620421200,57666.197653297524,57386.224040073575,57669.297791388104
1620417600,57727.0557121995,57666.197653297524,58087.361778332335
1620414000,57948.92430688603,57727.0557121995,57988.05735031529
1620410400,58146.62792861391,57948.92430688603,58166.65428315368
1620406800,58580.78537301958,58146.62792861391,58652.1056517347
1620403200,57557.49565696164,58580.78537301958,58580.78537301958
